County,Years,GCP
BARINGO,2013,35852
BOMET,2013,64268
BUNGOMA,2013,99597
BUSIA,2013,40108
ELGEYO MARAKWET,2013,36579
EMBU,2013,81946
GARISSA,2013,27974
HOMA BAY,2013,61948
ISIOLO,2013,12909
KAJIADO,2013,75124
KAKAMEGA,2013,105821
KERICHO,2013,85265
KIAMBU,2013,288907
KILIFI,2013,108937
KIRINYAGA,2013,65691
KISII,2013,92408
KISUMU,2013,130396
KITUI,2013,60075
KWALE,2013,54196
LAIKIPIA,2013,41503
LAMU,2013,15858
MACHAKOS,2013,187900
MAKUENI,2013,53770
MANDERA,2013,25568
MARSABIT,2013,25515
MERU,2013,147102
MIGORI,2013,61138
MOMBASA,2013,268326
MURANGA,2013,98712
NAIROBI,2013,1328511
NAKURU,2013,221472
NANDI,2013,77281
NAROK,2013,77146
NYAMIRA,2013,51086
NYANDARUA,2013,49785
NYERI,2013,97658
SAMBURU,2013,13325
SIAYA,2013,47453
TAITA TAVETA,2013,30583
TANA RIVER,2013,15525
THARAKA NITHI,2013,28567
TRANS NZOIA,2013,75679
TURKANA,2013,49299
UASIN GISHU,2013,120604
VIHIGA,2013,37657
WAJIR,2013,24585
WEST POKOT,2013,31709
BARINGO,2014,42040
BOMET,2014,67305
BUNGOMA,2014,118448
BUSIA,2014,46062
ELGEYO MARAKWET,2014,45062
EMBU,2014,87820
GARISSA,2014,31185
HOMA BAY,2014,70995
ISIOLO,2014,13640
KAJIADO,2014,84306
KAKAMEGA,2014,119890
KERICHO,2014,90931
KIAMBU,2014,326154
KILIFI,2014,123451
KIRINYAGA,2014,72392
KISII,2014,106980
KISUMU,2014,144502
KITUI,2014,72847
KWALE,2014,63269
LAIKIPIA,2014,47212
LAMU,2014,17692
MACHAKOS,2014,207763
MAKUENI,2014,61198
MANDERA,2014,27144
MARSABIT,2014,27189
MERU,2014,171460
MIGORI,2014,71001
MOMBASA,2014,296857
MURANGA,2014,111428
NAIROBI,2014,1508534
NAKURU,2014,276385
NANDI,2014,82247
NAROK,2014,83271
NYAMIRA,2014,54626
NYANDARUA,2014,63090
NYERI,2014,112940
SAMBURU,2014,14199
SIAYA,2014,55842
TAITA TAVETA,2014,36029
TANA RIVER,2014,15557
THARAKA NITHI,2014,32011
TRANS NZOIA,2014,87050
TURKANA,2014,54544
UASIN GISHU,2014,135456
VIHIGA,2014,42181
WAJIR,2014,24940
WEST POKOT,2014,37854
BARINGO,2015,47684
BOMET,2015,85548
BUNGOMA,2015,126232
BUSIA,2015,51610
ELGEYO MARAKWET,2015,46129
EMBU,2015,94830
GARISSA,2015,35064
